lga_name,date,year,month_num,month_name,month_label,age_group,sex,Assault,Grievous Assault,Serious Assault,Sexual Offences,Robbery,Armed Robbery,Unlawful Entry,Other Property Damage,Fraud,Breach Domestic Violence Protection Order,Drink Driving
Aurukun Shire Council,2011-02-01,2011,2,February,Feb 2011,Adult,Female,5,0,1,0,0,0,0,5,0,1,0
Aurukun Shire Council,2011-02-01,2011,2,February,Feb 2011,Adult,Male,8,0,5,0,0,0,0,3,0,8,1
Aurukun Shire Council,2011-02-01,2011,2,February,Feb 2011,Juvenile,Female,0,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2011-02-01,2011,2,February,Feb 2011,Juvenile,Male,1,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2011-03-01,2011,3,March,Mar 2011,Adult,Female,0,0,0,0,0,0,0,2,0,0,0
Aurukun Shire Council,2011-03-01,2011,3,March,Mar 2011,Adult,Male,8,1,3,0,0,0,0,0,0,6,0
Aurukun Shire Council,2011-03-01,2011,3,March,Mar 2011,Juvenile,Male,3,0,1,0,0,0,32,15,0,1,0
Aurukun Shire Council,2011-04-01,2011,4,April,Apr 2011,Adult,Female,1,1,0,0,0,0,0,0,0,0,0
Aurukun Shire Council,2011-04-01,2011,4,April,Apr 2011,Adult,Male,10,2,4,0,0,0,6,3,0,3,0
Aurukun Shire Council,2011-04-01,2011,4,April,Apr 2011,Juvenile,Female,0,0,0,0,0,0,1,1,0,0,0
Aurukun Shire Council,2011-04-01,2011,4,April,Apr 2011,Juvenile,Male,0,0,0,0,0,0,14,12,0,1,0
Aurukun Shire Council,2011-05-01,2011,5,May,May 2011,Adult,Female,2,0,2,0,0,0,0,1,0,1,0
Aurukun Shire Council,2011-05-01,2011,5,May,May 2011,Adult,Male,10,1,3,0,0,0,3,3,0,2,1
Aurukun Shire Council,2011-05-01,2011,5,May,May 2011,Juvenile,Male,3,0,0,0,0,0,10,5,0,0,0
Aurukun Shire Council,2011-06-01,2011,6,June,Jun 2011,Adult,Male,4,0,2,0,1,1,2,2,0,0,2
Aurukun Shire Council,2011-06-01,2011,6,June,Jun 2011,Juvenile,Female,0,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2011-06-01,2011,6,June,Jun 2011,Juvenile,Male,0,0,0,0,0,0,4,0,0,0,0
Aurukun Shire Council,2011-07-01,2011,7,July,Jul 2011,Adult,Male,1,0,0,0,0,0,2,3,0,1,0
Aurukun Shire Council,2011-07-01,2011,7,July,Jul 2011,Juvenile,Male,0,0,0,0,0,0,6,3,0,0,0
Aurukun Shire Council,2011-08-01,2011,8,August,Aug 2011,Adult,Female,0,0,0,0,0,0,0,0,0,1,0
Aurukun Shire Council,2011-08-01,2011,8,August,Aug 2011,Adult,Male,4,0,1,0,0,0,2,2,0,4,0
Aurukun Shire Council,2011-08-01,2011,8,August,Aug 2011,Juvenile,Male,0,0,0,0,0,0,4,5,0,0,0
Aurukun Shire Council,2011-09-01,2011,9,September,Sep 2011,Adult,Female,2,0,2,0,0,0,0,2,0,0,0
Aurukun Shire Council,2011-09-01,2011,9,September,Sep 2011,Adult,Male,7,0,2,0,0,0,1,1,0,4,2
Aurukun Shire Council,2011-09-01,2011,9,September,Sep 2011,Juvenile,Female,0,0,0,0,0,0,2,0,0,0,0
Aurukun Shire Council,2011-09-01,2011,9,September,Sep 2011,Juvenile,Male,0,0,0,4,0,0,1,1,0,0,0
Aurukun Shire Council,2011-10-01,2011,10,October,Oct 2011,Adult,Male,4,1,2,0,0,0,1,1,0,1,0
Aurukun Shire Council,2011-10-01,2011,10,October,Oct 2011,Juvenile,Male,1,1,0,0,1,1,12,5,0,0,0
Aurukun Shire Council,2011-11-01,2011,11,November,Nov 2011,Adult,Female,1,0,0,0,0,0,0,0,0,0,0
Aurukun Shire Council,2011-11-01,2011,11,November,Nov 2011,Adult,Male,3,0,1,0,0,0,3,1,0,1,0
Aurukun Shire Council,2011-11-01,2011,11,November,Nov 2011,Juvenile,Male,0,0,0,0,10,10,28,3,0,0,0
Aurukun Shire Council,2011-12-01,2011,12,December,Dec 2011,Adult,Female,3,0,2,0,0,0,1,0,0,1,0
Aurukun Shire Council,2011-12-01,2011,12,December,Dec 2011,Adult,Male,3,0,0,0,0,0,6,3,0,0,2
Aurukun Shire Council,2011-12-01,2011,12,December,Dec 2011,Juvenile,Male,0,0,0,0,0,0,4,1,0,0,0
Aurukun Shire Council,2012-01-01,2012,1,January,Jan 2012,Adult,Male,4,1,2,1,0,0,17,2,0,5,0
Aurukun Shire Council,2012-01-01,2012,1,January,Jan 2012,Juvenile,Male,0,0,0,0,0,0,25,1,0,0,0
Aurukun Shire Council,2012-02-01,2012,2,February,Feb 2012,Adult,Female,0,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2012-02-01,2012,2,February,Feb 2012,Adult,Male,4,0,1,0,0,0,6,4,0,2,2
Aurukun Shire Council,2012-02-01,2012,2,February,Feb 2012,Juvenile,Male,0,0,0,0,0,0,18,0,0,0,0
Aurukun Shire Council,2012-03-01,2012,3,March,Mar 2012,Adult,Female,1,1,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2012-03-01,2012,3,March,Mar 2012,Adult,Male,1,0,0,0,1,1,4,2,0,0,1
Aurukun Shire Council,2012-03-01,2012,3,March,Mar 2012,Juvenile,Male,4,0,1,0,3,3,29,3,0,0,0
Aurukun Shire Council,2012-04-01,2012,4,April,Apr 2012,Adult,Female,3,0,2,0,0,0,0,0,0,0,0
Aurukun Shire Council,2012-04-01,2012,4,April,Apr 2012,Adult,Male,1,1,0,0,0,0,1,1,0,4,0
Aurukun Shire Council,2012-04-01,2012,4,April,Apr 2012,Juvenile,Male,0,0,0,0,0,0,2,4,0,0,0
Aurukun Shire Council,2012-05-01,2012,5,May,May 2012,Adult,Female,0,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2012-05-01,2012,5,May,May 2012,Adult,Male,3,0,1,0,0,0,1,0,0,2,1
Aurukun Shire Council,2012-05-01,2012,5,May,May 2012,Juvenile,Male,0,0,0,0,0,0,4,3,0,0,0
Aurukun Shire Council,2012-06-01,2012,6,June,Jun 2012,Adult,Female,1,0,0,0,0,0,0,2,0,0,0
Aurukun Shire Council,2012-06-01,2012,6,June,Jun 2012,Adult,Male,0,0,0,0,0,0,0,0,0,0,1
Aurukun Shire Council,2012-06-01,2012,6,June,Jun 2012,Juvenile,Male,0,0,0,0,0,0,1,1,0,0,0
Aurukun Shire Council,2012-07-01,2012,7,July,Jul 2012,Adult,Female,3,0,1,0,0,0,0,5,0,0,0
Aurukun Shire Council,2012-07-01,2012,7,July,Jul 2012,Adult,Male,1,1,0,0,0,0,1,3,0,4,0
Aurukun Shire Council,2012-08-01,2012,8,August,Aug 2012,Adult,Female,0,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2012-08-01,2012,8,August,Aug 2012,Adult,Male,6,1,2,0,1,1,1,1,0,0,3
Aurukun Shire Council,2012-08-01,2012,8,August,Aug 2012,Juvenile,Male,0,0,0,0,0,0,6,2,0,0,0
Aurukun Shire Council,2012-09-01,2012,9,September,Sep 2012,Adult,Female,2,0,1,0,0,0,0,0,0,0,0
Aurukun Shire Council,2012-09-01,2012,9,September,Sep 2012,Adult,Male,2,0,0,0,1,1,5,6,0,3,0
Aurukun Shire Council,2012-09-01,2012,9,September,Sep 2012,Juvenile,Male,2,0,2,0,0,0,4,3,0,0,0
Aurukun Shire Council,2012-10-01,2012,10,October,Oct 2012,Adult,Female,0,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2012-10-01,2012,10,October,Oct 2012,Adult,Male,6,0,1,0,1,1,1,8,0,4,2
Aurukun Shire Council,2012-10-01,2012,10,October,Oct 2012,Juvenile,Female,0,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2012-10-01,2012,10,October,Oct 2012,Juvenile,Male,3,0,2,0,1,1,11,7,0,0,0
Aurukun Shire Council,2012-11-01,2012,11,November,Nov 2012,Adult,Female,0,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2012-11-01,2012,11,November,Nov 2012,Adult,Male,0,0,0,0,0,0,0,4,0,3,1
Aurukun Shire Council,2012-11-01,2012,11,November,Nov 2012,Juvenile,Male,2,0,0,0,0,0,4,8,0,0,0
Aurukun Shire Council,2012-12-01,2012,12,December,Dec 2012,Adult,Female,2,0,0,0,0,0,0,0,1,0,0
Aurukun Shire Council,2012-12-01,2012,12,December,Dec 2012,Adult,Male,3,1,1,1,0,0,1,2,0,0,0
Aurukun Shire Council,2012-12-01,2012,12,December,Dec 2012,Juvenile,Female,0,0,0,0,0,0,0,2,0,0,0
Aurukun Shire Council,2013-01-01,2013,1,January,Jan 2013,Adult,Female,1,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2013-01-01,2013,1,January,Jan 2013,Adult,Male,4,0,0,0,0,0,5,6,0,4,1
Aurukun Shire Council,2013-01-01,2013,1,January,Jan 2013,Juvenile,Male,0,0,0,0,0,0,12,1,0,0,0
Aurukun Shire Council,2013-02-01,2013,2,February,Feb 2013,Adult,Female,1,0,1,0,0,0,0,0,0,1,0
Aurukun Shire Council,2013-02-01,2013,2,February,Feb 2013,Adult,Male,4,0,1,0,0,0,0,7,0,3,0
Aurukun Shire Council,2013-02-01,2013,2,February,Feb 2013,Juvenile,Male,1,0,0,0,0,0,1,1,0,0,0
Aurukun Shire Council,2013-03-01,2013,3,March,Mar 2013,Adult,Female,0,0,0,0,0,0,0,3,0,1,1
Aurukun Shire Council,2013-03-01,2013,3,March,Mar 2013,Adult,Male,4,0,1,0,0,0,5,2,0,2,2
Aurukun Shire Council,2013-03-01,2013,3,March,Mar 2013,Juvenile,Male,0,0,0,0,0,0,5,1,0,0,0
Aurukun Shire Council,2013-04-01,2013,4,April,Apr 2013,Adult,Female,2,1,1,0,0,0,0,0,0,0,0
Aurukun Shire Council,2013-04-01,2013,4,April,Apr 2013,Adult,Male,17,0,6,0,0,0,0,5,0,0,0
Aurukun Shire Council,2013-04-01,2013,4,April,Apr 2013,Juvenile,Male,1,0,0,0,0,0,4,2,0,0,0
Aurukun Shire Council,2013-05-01,2013,5,May,May 2013,Adult,Female,5,1,3,0,0,0,0,1,0,0,0
Aurukun Shire Council,2013-05-01,2013,5,May,May 2013,Adult,Male,5,0,2,0,2,2,2,4,0,2,1
Aurukun Shire Council,2013-05-01,2013,5,May,May 2013,Juvenile,Female,1,0,0,0,0,0,3,1,0,0,0
Aurukun Shire Council,2013-05-01,2013,5,May,May 2013,Juvenile,Male,0,0,0,0,0,0,3,0,0,0,0
Aurukun Shire Council,2013-06-01,2013,6,June,Jun 2013,Adult,Female,6,0,3,0,0,0,0,1,0,0,0
Aurukun Shire Council,2013-06-01,2013,6,June,Jun 2013,Adult,Male,10,0,0,0,0,0,2,4,0,3,1
Aurukun Shire Council,2013-06-01,2013,6,June,Jun 2013,Juvenile,Female,0,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2013-06-01,2013,6,June,Jun 2013,Juvenile,Male,2,0,1,0,0,0,0,1,0,0,0
Aurukun Shire Council,2013-07-01,2013,7,July,Jul 2013,Adult,Female,4,0,1,0,0,0,0,1,0,0,0
Aurukun Shire Council,2013-07-01,2013,7,July,Jul 2013,Adult,Male,7,1,4,0,0,0,2,7,0,2,3
Aurukun Shire Council,2013-07-01,2013,7,July,Jul 2013,Juvenile,Male,0,0,0,0,0,0,4,5,0,0,0
Aurukun Shire Council,2013-08-01,2013,8,August,Aug 2013,Adult,Female,3,0,1,0,0,0,1,4,0,0,0
Aurukun Shire Council,2013-08-01,2013,8,August,Aug 2013,Adult,Male,8,0,2,0,1,1,9,3,0,2,1
Aurukun Shire Council,2013-08-01,2013,8,August,Aug 2013,Juvenile,Female,0,0,0,0,0,0,1,1,0,0,0
Aurukun Shire Council,2013-08-01,2013,8,August,Aug 2013,Juvenile,Male,0,0,0,0,0,0,1,5,0,0,0
Aurukun Shire Council,2013-09-01,2013,9,September,Sep 2013,Adult,Female,1,0,0,1,0,0,0,1,0,0,1
Aurukun Shire Council,2013-09-01,2013,9,September,Sep 2013,Adult,Male,5,0,3,1,2,2,2,8,0,6,2
Aurukun Shire Council,2013-09-01,2013,9,September,Sep 2013,Juvenile,Female,0,0,0,0,0,0,0,2,0,0,0
Aurukun Shire Council,2013-09-01,2013,9,September,Sep 2013,Juvenile,Male,1,0,0,0,2,2,0,3,0,0,0
Aurukun Shire Council,2013-10-01,2013,10,October,Oct 2013,Adult,Female,7,0,1,0,0,0,2,1,0,1,0
Aurukun Shire Council,2013-10-01,2013,10,October,Oct 2013,Adult,Male,15,0,4,0,1,1,12,9,0,5,1
Aurukun Shire Council,2013-10-01,2013,10,October,Oct 2013,Juvenile,Female,0,0,0,0,0,0,2,0,0,0,0
Aurukun Shire Council,2013-10-01,2013,10,October,Oct 2013,Juvenile,Male,0,0,0,1,0,0,9,2,0,0,0
Aurukun Shire Council,2013-11-01,2013,11,November,Nov 2013,Adult,Female,3,0,1,0,0,0,0,1,0,0,0
Aurukun Shire Council,2013-11-01,2013,11,November,Nov 2013,Adult,Male,10,0,1,0,0,0,6,15,0,4,1
Aurukun Shire Council,2013-11-01,2013,11,November,Nov 2013,Juvenile,Male,1,0,0,0,1,1,18,23,0,0,0
Aurukun Shire Council,2013-12-01,2013,12,December,Dec 2013,Adult,Female,3,1,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2013-12-01,2013,12,December,Dec 2013,Adult,Male,3,0,1,0,0,0,0,1,0,0,1
Aurukun Shire Council,2013-12-01,2013,12,December,Dec 2013,Juvenile,Male,0,0,0,0,0,0,1,3,0,0,0
Aurukun Shire Council,2014-01-01,2014,1,January,Jan 2014,Adult,Female,1,0,0,0,0,0,0,0,0,0,0
Aurukun Shire Council,2014-01-01,2014,1,January,Jan 2014,Adult,Male,6,0,3,0,0,0,5,4,0,5,0
Aurukun Shire Council,2014-01-01,2014,1,January,Jan 2014,Juvenile,Male,5,0,0,0,0,0,7,9,0,0,0
Aurukun Shire Council,2014-02-01,2014,2,February,Feb 2014,Adult,Female,0,0,0,0,0,0,1,2,0,0,0
Aurukun Shire Council,2014-02-01,2014,2,February,Feb 2014,Adult,Male,3,0,3,1,1,1,14,7,0,3,1
Aurukun Shire Council,2014-02-01,2014,2,February,Feb 2014,Juvenile,Male,0,0,0,0,0,0,7,5,0,0,0
Aurukun Shire Council,2014-03-01,2014,3,March,Mar 2014,Adult,Female,3,0,1,0,0,0,0,4,0,0,0
Aurukun Shire Council,2014-03-01,2014,3,March,Mar 2014,Adult,Male,1,1,0,0,0,0,2,5,0,3,1
Aurukun Shire Council,2014-03-01,2014,3,March,Mar 2014,Juvenile,Female,0,0,0,0,0,0,1,0,0,0,0
Aurukun Shire Council,2014-03-01,2014,3,March,Mar 2014,Juvenile,Male,1,0,0,0,0,0,6,3,0,0,0
Aurukun Shire Council,2014-04-01,2014,4,April,Apr 2014,Adult,Female,1,0,1,0,0,0,0,3,0,1,0
Aurukun Shire Council,2014-04-01,2014,4,April,Apr 2014,Adult,Male,5,0,2,0,0,0,6,8,0,2,0
Aurukun Shire Council,2014-04-01,2014,4,April,Apr 2014,Juvenile,Female,1,0,0,0,0,0,0,0,0,0,0
Aurukun Shire Council,2014-04-01,2014,4,April,Apr 2014,Juvenile,Male,3,0,0,0,0,0,15,4,0,0,0
Aurukun Shire Council,2014-05-01,2014,5,May,May 2014,Adult,Female,2,0,1,0,0,0,1,1,0,0,0
Aurukun Shire Council,2014-05-01,2014,5,May,May 2014,Adult,Male,2,0,2,0,0,0,2,2,0,3,2
Aurukun Shire Council,2014-05-01,2014,5,May,May 2014,Juvenile,Male,0,0,0,0,0,0,2,4,0,0,0
Aurukun Shire Council,2014-06-01,2014,6,June,Jun 2014,Adult,Female,0,0,0,0,0,0,1,1,0,1,0
Aurukun Shire Council,2014-06-01,2014,6,June,Jun 2014,Adult,Male,6,0,3,1,1,1,0,5,0,3,1
Aurukun Shire Council,2014-06-01,2014,6,June,Jun 2014,Juvenile,Male,6,0,0,0,0,0,13,11,0,0,0
Aurukun Shire Council,2014-07-01,2014,7,July,Jul 2014,Adult,Female,1,0,0,0,0,0,0,3,0,1,0
Aurukun Shire Council,2014-07-01,2014,7,July,Jul 2014,Adult,Male,7,1,3,0,0,0,2,1,0,1,2
Aurukun Shire Council,2014-07-01,2014,7,July,Jul 2014,Juvenile,Male,1,0,0,0,0,0,3,0,0,0,0
Aurukun Shire Council,2014-08-01,2014,8,August,Aug 2014,Adult,Female,1,0,1,0,0,0,0,1,0,0,0
Aurukun Shire Council,2014-08-01,2014,8,August,Aug 2014,Adult,Male,6,0,3,0,0,0,0,4,0,3,1
Aurukun Shire Council,2014-08-01,2014,8,August,Aug 2014,Juvenile,Male,0,0,0,0,0,0,4,1,0,0,0
Aurukun Shire Council,2014-09-01,2014,9,September,Sep 2014,Adult,Female,1,0,0,0,0,0,1,1,0,0,0
Aurukun Shire Council,2014-09-01,2014,9,September,Sep 2014,Adult,Male,9,0,4,0,0,0,7,4,0,5,0
Aurukun Shire Council,2014-09-01,2014,9,September,Sep 2014,Juvenile,Female,1,0,0,0,0,0,0,1,0,0,0
